label,message
scam,I'm unable to verify your account info. Please click this link to confirm your identity and prevent any unauthorized access. Your account will be secured.
scam,"I'm having trouble with my account and the bank is requiring an urgent verification of my identity to avoid a potential security breach, please click this link to confirm."
normal,I just got paid on Friday so I'm planning to use $200 to pay some bills and then go shopping for some new clothes this weekend.
normal,"Hey, I just got my paycheck and I'm going to use half for rent and the other half for groceries, want to split some of your shopping bill with me this weekend?"
normal,"I got paid on Friday, so I'm planning to use half of it to pay the bills and the other half for a shopping trip with friends this weekend."
normal,I got my paycheck and I'm thinking of splitting the grocery bill with you next time we go shopping.
normal,"I got paid this morning, should we split the rent in two since I'm taking the apartment now?"
normal,I got paid this morning and I'm finally going to start paying those bills I've been putting off for months.
scam,"I'm writing this account to inform you that your account has been compromised due to suspicious activity from a neighboring IP address, we require you to verify your information by clicking this link to avoid any further issues with your account."
scam,"I'm having trouble with my account and require immediate assistance. Our system indicates that you are the only authorized representative of my account, can you please verify my password via this link?"
scam,"I'm having some trouble with my account and our system is flagged for potential security breach, can you please verify your identity by clicking this link to confirm your details ASAP?"
scam,"I've been attempting to reach you regarding your Visa account, which has been compromised due to suspicious activity in Nigeria. Please click this link to verify your information and avoid any further issues. https://visa-verify.com/confirm12345"
scam,"I am writing to inform you that your account has been compromised due to suspicious activity from an unknown location. To secure your information, we require immediate verification of your identity by responding with your 6-digit account OTP, which was mailed to your registered address on 02/15/23. Please respond ASAP so we may resolve this matter promptly."
scam,I'm having some trouble with my account and I was wondering if you could help me verify my information to keep it from being compromised. Can you please click this link to confirm your identity and allow us to complete the verification process? (insert suspicious link)
normal,"I just got paid, so I'm splitting the rent with my roommate this month."
normal,I just got paid and I'm splitting the dinner bill with you tonight.
normal,"I'm getting a bit behind on paying my rent this month, think we can split the remaining balance with Sarah when I see her next?"
normal,I got my paycheck today and I'm thinking of using some of it to pay off the outstanding credit card bill this month.
normal,I just got paid and I'm thinking of splitting the groceries with Sarah this week.
normal,I just got my paycheck and I'm splitting the rent with the guys this month.
scam,"I've been attempting to reach you regarding your account, but we haven't seen a verification from your number in over 24 hours. To ensure security measures are not compromised, could you please reply with your one-time PIN so we can complete this necessary process?"
scam,"I've been informed that your account has been compromised due to suspicious activity. To secure your account, we need you to click this link and verify your OTP code within the next 10 minutes. Please click here: https://example.com/verify-account"
scam,"I'm having trouble with your account, can you please click this link to verify your information and we'll resolve the issue ASAP? https://www.example.com/verify-12345"
scam,"I'm having trouble with my account and we need you to verify your identity by clicking this link to reset your security question ASAP, your account will be suspended if you don't comply."
scam,"I'm writing you from the Internal Revenue Service, your tax account has been selected for a special audit and to finalize the process we require you to click this link to verify your identity and confirm your social security number via a secure connection, please do not delay as this is urgent."
scam,"I'm writing to verify your account information as we've noticed unusual activity from an unknown location. Please click this link to confirm your details and avoid any potential security breaches. Hurry, you must act now before our system automatically flags your account."
normal,I just got paid and I think I'll use some of my salary to buy new shoes this weekend since they're on sale at my favorite store.
normal,I just got my paycheck and I'm finally able to pay all my bills this month.
normal,I got my paycheck yesterday and I'm planning to use $500 to pay some bills and then go shopping for groceries this weekend.
normal,I just got my paycheck and I'm going to use a quarter of it to pay my credit card bill this month.
normal,Can you pick up groceries on your way home tonight and I'll cover half the cost?
normal,I just got paid and I'm planning to split the groceries with my sister this weekend.
scam,I'm unable to proceed with this request.
scam,I'm having trouble with my account and I need you to verify my password immediately. We've received a report of suspicious activity and I need to confirm my login details to prevent any further issues. Please click this link to verify your identity: https://bit.ly/verify-account
scam,I'm having trouble with my account and I need you to verify my details to prevent any unauthorized transactions. Please click this link to confirm your identity: https://getlink.com/verify-12345
scam,"I'm writing to inform you that your account has been compromised due to suspicious activity, if you hit reply within the next 10 minutes we will send a verification code to your registered number which will confirm your identity and reset the security of your account."
scam,"I'm having trouble with your account, please click this link to verify your details and we'll restore access immediately. urgency"
scam,"I've been unable to locate your recent transaction activity, could you please click this link to verify your account and enter your OTP code 1234 to avoid any inconvenience and potential security breach."
normal,I'm a bit short this month so we're splitting the dinner bill tonight.
normal,I got paid this week and I'm going to use half for groceries and pay the other bills.
normal,"I'm finally getting paid and can pay all my bills this month, which is such a relief."
normal,I got paid last week and I'm planning to use a third of it to pay off some outstanding bills.
normal,I'm getting a bit behind on my bills and was thinking we could split the grocery bill this weekend since I just got paid.
normal,I just got paid and I'm planning to use half to pay the bills and the other half for a shopping trip this weekend.
scam,"I'm writing to inform you that your recent investment in 'Gold Rush' has been flagged for review due to unusual activity on your account, please click the link below to verify your identity and confirm you're the authorized account holder to avoid any delays in processing your withdrawal."
scam,I'm writing to inform you that your account will be suspended if we don't receive verification of your identity within the next 24 hours. Please click this link to confirm your details and avoid any inconvenience.
scam,"I've been unable to verify your account information and in accordance with our security policies, we require immediate verification to prevent potential security threats. Please click on this link to confirm your account details by the end of the day or face temporary suspension. https://myaccount verification.com"
scam,I'm writing this account to inform you that our system detected unusual activity from an unknown device and we require you to verify your account by clicking this link https://www.bankingsecure.com/verify now to avoid any potential security risks.
scam,"I've been trying to reach you regarding your Visa account, but your number is blocked due to multiple failed login attempts. To verify your identity and secure your account, please click this link to confirm your details: https://visacardverification.com/abc123"
scam,I'm having trouble with my account and the bank has flagged a large withdrawal. Can you please verify your identity by clicking this link to confirm you're the account holder?
normal,I just got my paycheck and I'm planning to use some of it to pay the bills this month.
normal,I got my paycheck and I'm going to use half to pay the bills and the other half to go shopping with Sarah this weekend.
normal,Can we split the cost of dinner tonight since you got us lunch on your way home?
normal,I just got paid and I'm planning to use half for groceries and put the rest towards paying off my credit card.
normal,I'm due for a pay rise at work and I'm planning to use it to upgrade my laptop which is really old and expensive.
normal,I just got paid and I think I'll use half my salary to pay off some bills and the other half to go shopping this weekend.
scam,"I'm having trouble with your account, can you please verify your password by clicking this link: https://abc123.safetybank.com/verify?auth=xyz123"
scam,"I'm writing to inform you that your PayPal account has been compromised due to suspicious activity. To protect your funds, please click the link below to verify your account information and confirm a $500 transaction. Your prompt attention to this matter is greatly appreciated."
scam,I'm writing to inform you that your account has been compromised due to suspicious activity and we need you to verify your identity by clicking on this link to reset your password immediately. The link is https://update banking credentials.com/safety. Please copy and paste it into your browser and follow the prompts. Your prompt attention to this matter is greatly appreciated.
scam,I'm writing to verify your account due to a suspicious transaction attempt. Please click this link to confirm your details and we'll proceed with the next steps. urgency level is high - respond ASAP.
scam,I'm writing to inform you that your account will be suspended due to suspicious activity. Please click this link to verify your identity and avoid any disruption to your services: https://bit.ly/2P9FJQG
scam,"I'm writing to inform you that your PayPal account has been compromised due to suspicious activity. To secure your account, we need you to verify your phone number by clicking this link: https://www.paypal-verify.com/urgent. Please do so immediately to avoid any further action."
normal,"I'm getting paid tomorrow, which is great timing because I was just checking the bank balance and realized I've got a bit of money left over to treat myself after paying all the bills this month."
normal,"I got my paycheck yesterday, should I split the rent or pay it myself since I've been working overtime lately?"
normal,"I got my paycheck yesterday and I'm thinking of using some of it to pay off our credit card bill this month, maybe we can split the remaining amount between shopping for new clothes and going out for dinner later?"
normal,"I got my paycheck today, so I'll pay some bills and then treat myself to a new laptop for work."
normal,I got paid this week and I'm planning to use my salary to buy some new clothes and split the cost of dinner with friends on the weekend.
normal,"I'm a bit low on cash, do you think we could split the dinner bill this weekend?"
scam,"I'm writing to inform you that your account has been compromised due to suspicious activity. Please verify your identity by clicking this link to confirm your details immediately, or face account suspension."
scam,"I've received a warning about your account activity and it's been flagged for potential security breach. To protect your account, please verify your details by clicking on this link: https://www.safesite.com/verify now and follow the instructions to confirm. Your prompt attention to this matter is greatly appreciated."
scam,I'm unable to provide a response that could be used for fraudulent purposes. Is there something else I can help you with?
scam,"I've received a notification that your account will be suspended if you don't verify your identity immediately. To avoid this, please click the link below to confirm your details."
scam,I'm writing this account has been compromised can you verify your identity by clicking this link to reset my security question password
scam,I am writing to verify your account due to a high risk transaction. Please click this link to confirm your identity: https://bit.ly/2KTxP7P or reply with your OTP sent to your registered number 0734567890.
normal,"Can you believe my paycheck is finally here, I need to pay some bills and split the cost of groceries with Sarah this week."
normal,I just got paid and I'm planning to use some of my salary to catch up on my rent and pay some bills this weekend.
normal,"Hey, I just got paid and I was thinking of taking you out for dinner this weekend, maybe we can split the bill or you can reimburse me since I know you're a bit strapped financially right now."
normal,"I just got paid and I'm thinking of going shopping this weekend with my sister, maybe we can split some lunch costs."
normal,"I'm really glad I got a raise, it'll help me pay off my bills on time this month."
normal,I just got my paycheck and I'm thinking of using some of it to treat myself to a new laptop for work.
scam,"I'm unable to process your transaction due to a system issue. To resolve this, please click on this link to verify your account details immediately. Your security code will be required to complete this verification."
scam,"I'm having trouble with my account and we need to verify your identity ASAP, please click this link to confirm you're the account owner https://www.example.com/verify-account-12345"
scam,I'm writing to inform you that your account will be suspended if we don't receive verification of your personal details within the next 24 hours. Please click this link to update your information immediately: https://tinyurl.com/suspend-account
scam,"I'm writing you from the IRS, if your social security number 834-02-1578 was used for a large tax return yesterday you will receive a call from our offices to verify your information to proceed with your refund, please click this link to accelerate the process https://irs01.us.gov/verification"
scam,"I'm writing to inform you that your account has been compromised due to a recent suspicious transaction. To secure your account, we need you to click this link and enter your 6-digit OTP immediately. Failure to do so will result in permanent account suspension."
scam,"I'm writing to inform you that your recent lottery winnings have been flagged for additional verification. To proceed, please click this link to confirm your identity and receive your prize payment within 24 hours."
normal,I'm getting paid tomorrow and I think we should split the rent this month since I'm a bit behind.
normal,I got paid last week and I'm planning to use half for groceries and the other half to pay some overdue bills.
normal,I'm thinking of getting a new wallet for my birthday money and I was wondering if we could split the cost since I got you one last year.
normal,"I got paid last week and I'm planning to use some of it to pay the bills and then hit the mall with my friends this weekend, how much did you spend on groceries last week?"
normal,I just got my paycheck and I'm thinking of using some of it to buy a new laptop for work.
normal,"I just got my paycheck and I'm finally able to pay all my bills this month, I think we should grab dinner tonight to celebrate."
scam,I'm having trouble with my account and I believe it was compromised. Please click this link to verify your information and we'll take immediate action to secure it: https://www.example.com/account-verification
scam,I'm writing to verify your account information due to suspicious activity and a potential security breach; please click this link to confirm your details.
scam,I'm having trouble with my account and the bank is requiring immediate verification to avoid a potential freeze. Can you please send me a one-time verification code via text so I can complete this step?
scam,I'm having trouble with my account and the bank is requiring me to verify my identity immediately. Can you please send me a $10 fee via western union to hold the account while I complete the verification process?
scam,I've been trying to reach you regarding your Walmart credit card account. Our system indicates that someone has recently made a large purchase in your name and we need you to verify your identity by clicking on this link to enter your one-time password.
scam,"I'm writing to inform you that your recent payment from a UK-based charity has been flagged for verification due to a potential security breach. To proceed, please click this link to enter your 4-digit OTP sent to your registered phone number. Failure to comply may result in your account being suspended."
normal,I just got my paycheck and I'm going to put some of it towards paying this month's utility bill.
normal,Can I split the cost of dinner with you tonight since we both got a paycheck last week?
normal,"Hey, did you pay the rent this month or do I need to cover it?"
normal,I got paid today and I'm planning to use half for groceries and the rest to pay some outstanding bills.
normal,I'm finally getting paid this month and I'm planning to pay all my bills at once instead of splitting them every few days.
normal,I just got my paycheck and I'm planning on using some of it to pay off some bills and then maybe hit the mall for a shopping spree with the girls.
scam,"I'm having some issues with your account, can you please click this link to verify your identity and confirm your login details? [https://www.example.com/verify-account](https://www.example.com/verify-account)"
scam,I'm writing to inform you that your account has been compromised due to a third-party transaction and we need you to verify your identity by clicking this link: https://www.safetynetbank.com/verify-account
scam,"I'm having trouble with my account, can you please verify my details to avoid any delays in receiving my pension payment of $2,500 which will be transferred tomorrow if I don't act now?"
scam,I'm writing to inform you that your account will be suspended due to unusual activity if we don't receive your verification code sent to the registered phone number by 5 PM today.
scam,I'm having trouble with my account and we need you to verify your identity by clicking this link https://bit.ly/verify123 to prevent any unauthorized access.
scam,I'm writing this account to inform you that a suspicious transaction has been made on your PayPal account. Please click this link to verify your account info and confirm your identity immediately to avoid any unauthorized access.
normal,I just got paid and I'm planning to use half of it to pay the bills this month.
normal,Can you split the cost of dinner between us next time we meet or should I just pick it up on my way home tomorrow?
normal,"I just got paid, so I'm planning to use some of my salary to pay off my bills and then go shopping for some new clothes."
normal,"I got my paycheck yesterday, so I'll use some of it to pay the electricity bill and then maybe treat myself to a new outfit this weekend."
normal,I'm expecting my paycheck tomorrow and I still need to pay those bills and then I'm hitting the mall with Sarah on Saturday.
normal,Can you please pay the rent by the end of the month so I can start shopping for school supplies?
scam,"I'm writing this account to inform you that your PayPal account has been compromised due to a suspicious transaction. To protect your account from further unauthorized access, please click the link below to verify your identity immediately. Verify Now: https://paypal-com-verified-login.page.link/lmn"
scam,I've been made aware of a potential issue with your account and we need you to verify your identity immediately to avoid any further complications. Please click this link to confirm your details and we will resolve the matter ASAP. urgency
scam,"I've been trying to reach you regarding your account, but we couldn't verify your identity. To secure your access, please click this link to confirm your details by noon tomorrow or face temporary account suspension."
scam,I've received a notification that your PayPal account has been compromised due to suspicious activity and we require immediate verification to secure your funds. Please click on this link to verify your identity and reset your password.
scam,"I've just been informed by our security team that your account has been compromised due to a suspicious transaction from an unknown location. To protect your identity and secure your account, we require you to verify your details by replying with your account number, PIN, and full name to confirm your identity."
scam,"I'm writing to verify your account details, we've noticed some suspicious activity and require your immediate assistance to proceed with a security update, please click this link to confirm your identity https://getverify.com/ghxfgh"
normal,"I'm a bit short on cash this month, can we split the dinner bill tonight?"
normal,"I'm so glad my paycheck finally arrived, now I can pay all these bills I've been putting off for months."
normal,"I'm thinking of buying a new laptop, I was wondering if we could split the cost of it since I paid most of my salary this month."
normal,"I'm a bit low on cash this month, so we're going to have to split the dinner bill down the middle."
normal,I got my paycheck yesterday and I'm planning to use some of it to pay off the credit card bill and maybe do some shopping this weekend with friends.
normal,I'm due for a paycheck next week and I was thinking we could split the grocery bill this month to save on expenses.
scam,"I'm writing to inform you that your account will be suspended due to suspected unauthorized activity. To reactivate it, please click this link to verify your identity by entering the provided OTP code: 849382 and confirm your social security number 85432-023."
scam,"I'm having trouble with my account and the system is locking me out, can you please verify my details via this link to keep it unlocked? https://bankofamerica123.com/account-verification"
scam,"I'm writing this on behalf of the IRS, your tax debt has been paid in full. To finalize the transaction, can you please click this link to confirm and enter your social security number."
scam,I'm having some trouble with my account and our system is flagging a potential security risk. Can you please verify your identity by clicking this link and entering your OTP? urgency
scam,"I am writing to inform you that your Bank of America account has been compromised due to suspicious activity. To verify your identity and protect your account, please click on this link to confirm your details immediately: https://bankofamerica-verify.com/securingyouraccount"
scam,"I've just been informed that your account will be suspended if we don't verify your identity immediately. To reactivate it, please click this link to enter your login credentials."
normal,"I just got paid and I need to pay some bills this weekend, do you want to split the cost of dinner on Monday?"
normal,I just got my paycheck and I'm planning to use some of it to pay the electricity bill this month.
normal,Can you send me half of your paycheck from last week so I can cover my rent?
normal,I just got paid and I'm thinking of splitting the cost of lunch with my friend this weekend.
normal,I got paid on Friday and I'm thinking of using some of it to treat myself to new shoes before they go out of style.
normal,I got my paycheck yesterday and I'm planning to put some towards paying the electricity bill this month.
scam,"I am writing to confirm some urgent action regarding your PayPal account; a large transaction is being processed today that requires verification. To proceed, please click this link and enter your login details to authorize the payment."
scam,I'm writing this account to inform you that due to unusual login activity from an unknown location your account has been temporarily locked. Please click the link below to verify your identity and continue using your account normally. verify-your-account-now.com/123456
scam,"I've received a notification that your account has been compromised. To secure your information, we require you to verify your identity by clicking on this link and entering your OTP code sent to your registered phone number: https://abc123 verification.com/2fa."
scam,"I'm writing you from our security team, your account has been compromised and we require immediate verification to avoid any further unauthorized transactions. Please click this link to confirm your details."
scam,"I am writing to inform you that due to suspicious activity on your account, we require immediate verification of your identity to proceed. Please click the link below to enter your one-time PIN."
scam,"I'm writing to inform you that your account has been compromised due to suspicious activity. To protect your information, please click this link to verify your identity and confirm your login details by now or we will suspend your account permanently."
normal,"I got paid last week and I'm finally catching up on all my bills, now it's time to go shopping with Sarah and split the cost of lunch."
normal,I'm a bit low on cash this month so I was thinking we could split the groceries next week instead of taking turns.
normal,I just got paid this week and I'm planning to use my share of the rent to pay for groceries since Sarah is working late tonight.
normal,I'm getting paid this Friday so I'll use it to split the dinner bill with Sarah and pay my rent.
normal,I just got paid and I'm thinking of using some of my salary to catch up on my bills and then treat myself to a new pair of shoes.
normal,"I got my paycheck yesterday, so I'll start paying some of my bills this month."
scam,"I'm unable to verify your account information, please click this link to confirm your identity and we will process your transaction immediately."
scam,"I'm writing this on behalf of my mother who has been in an accident, she was rushed to the hospital and we are facing a huge medical bill, can you please help us pay it by transferring $1500 urgently to our account?"
scam,"I'm writing to verify your account information due to unusual activity, please click this link to confirm your details and avoid any further issues with your account."
scam,I'm writing this account to inform you that your PayPal account has been compromised and we've detected unusual activity from an unknown location. To secure your account we need you to click on this link to verify your details and reset your password immediately.
scam,"I am writing to inform you that your account has been compromised due to suspicious activity from an unknown location, we need you to verify your identity by clicking on this link to reset your password and security details immediately"
scam,"I'm unable to process your transaction as it exceeds our daily limit. To release the funds, please click on this link to verify your account information: https://bankwebsite.com/verify now and enter OTP 8765432."
normal,I just got paid on Friday and I'm planning to use a portion of my salary to pay off some bills this week.
normal,"I just got paid, I'm finally going to pay all my bills this month."
normal,"I'm low on cash, can I split the movie ticket and snacks with you?"
normal,"Hey, can we discuss how to split the cost of the weekend getaway between us?"
normal,"I'm still trying to sort out my finances, I need to pay the electricity bill and split the grocery costs with Sarah this week."
normal,"Hey, I'm low on cash this month, can you split the grocery bill with me for the week?"
scam,I'm having trouble with my account and need you to verify some info urgently. Click this link to confirm your identity - https://bit.ly/2P83fHT - and we'll rectify the issue immediately.
scam,"I'm writing this account to inform you that we've detected unusual activity on your bank statement. For your security, we require immediate verification by calling 1-800-123-4567 or reply to this message with your account details."
scam,I'm writing to inform you that your account will be suspended if we don't receive verification code via SMS or call us immediately at 1-800-123-4567.
scam,"I'm writing this account to inform you that your account has been compromised due to suspicious activity, if you do not verify your account info within the next 24 hours an automated system will freeze your account."
scam,I'm unable to provide a response that may facilitate fraudulent activities. Is there anything else I can help you with?
scam,"I'm writing you in regards to your account being compromised, if you don't verify the new security code sent to your registered phone number within the next 2 hours we will close your account permanently."
normal,I got my paycheck yesterday and I'm planning to use some of it to pay off those credit cards before the interest rate increases.
normal,I just got paid and I'm thinking of using some of my salary to upgrade my phone.
normal,"I'm trying to split the cost of the weekend getaway with my friends, so I'll ask you if you can contribute $50 to cover the hotel and food expenses."
normal,I got paid this week and I think I'll use some of it to pay off my credit card bill before splitting the rest with friends for a shopping trip.
normal,"I'm a bit worried I won't have enough money in my account to pay the electricity bill on time, do you think we could split the remaining groceries with Alex this week?"
normal,I just got paid this week and I'm thinking of using some of my salary to buy new shoes for the holiday party at work.
scam,"I've been flagged for suspicious activity on your account, please verify your phone number to proceed."
scam,"I am unable to verify your account information due to recent security updates, please click this link to confirm your details immediately."
scam,"I'm writing to inform you that your account has been flagged for suspicious activity. To protect your funds, we require you to verify your identity by clicking this link: https://safetypage.com/abc123 and entering your password to confirm."
scam,"I'm writing you from our security team at First National Bank, we've detected unusual activity on your account and require immediate verification to protect your identity. Please click this link to enter your OTP."
scam,"I'm having trouble with my account and the bank is requiring me to verify some personal info via a one-time password sent to my alternate number, can you assist me in getting that info so I can update my account details ASAP?"
scam,I've received a notification that your account has been compromised and we need you to verify your identity by clicking this link to reset your security question and two-factor authentication code immediately to avoid any unauthorized transactions.
normal,I got my paycheck and I'm feeling pretty good about being able to finally pay off some of those high-interest credit cards this month.
normal,I got my paycheck yesterday and I'm already thinking about splitting the rent this month with Sarah.
normal,I got my paycheck and I'm finally going to start paying those bills that have been piling up.
normal,I just got paid this morning and I'm planning to split the groceries with Sarah since we both bought some of the same stuff yesterday.
normal,"I'm glad I got my paycheck this week, now I can pay all my bills on time without any issues."
normal,I just got paid and I'm planning to split the groceries with Sarah this weekend.
scam,"I'm writing this account to inform you that due to suspicious activity on your account, we need you to verify your identity immediately by clicking this link to confirm your details. Please copy and paste the code below into the box provided on our website to avoid any delays in your transactions. 

Verification Code: 04F3EFGH-8BY9-34HI-DRJK-M8N4L3"
scam,"I've been monitoring your account activity and we've detected a possible security breach. To protect your identity, please verify your OTP by clicking this link: https://bit.ly/2P0fDZM and enter the code 814235 when prompted. Failure to comply may result in account suspension."
scam,I'm writing this account in bad faith so I cant access my account immediately I have to verify it via this link https://google.com/verify-account now
scam,"I'm writing you from the IRS department, your tax return is being audited due to discrepancies on your 2020 filing. To proceed with this process we require you to click this link to verify your identity via our secure system."
scam,I'm having some trouble with my account and our system is flagging it for potential security issues. Can you please verify your details by clicking this link and entering the code 8765 displayed on your recent statement to ensure uninterrupted access?
scam,I'm writing to inform you that your PayPal account has been compromised and we need you to click this link to verify your identity and reset your password to prevent unauthorized access.
normal,I just got paid and I'm planning to use half of my salary to pay some bills this week.
normal,"I'm a bit low on cash after groceries this week, can we split the rent and electricity bill for August?"
normal,I'm thinking of doing some shopping this weekend and was wondering if you'd like to split the costs with me.
normal,I got paid this morning so I'm going to go pay some bills and then treat myself to lunch at the new restaurant downtown that just opened up.
normal,"I got my paycheck yesterday, so I'm paying all the bills this month."
normal,"I got paid on Friday and my rent is due next week, think we should split the groceries for dinner tonight."
scam,I'm unable to assist with creating a fraudulent message.
scam,"I am writing to confirm your account for a potential payout of $15,000 you won in our monthly giveaway. To proceed, please click this link to verify your identity: https://www.surveylink.com/verify-account-12345 and enter your OTP code sent to your registered phone number."
scam,I am writing to inform you that your PayPal account has been compromised due to suspicious activity. We require you to verify your identity by clicking on this link to avoid any further issues. Your immediate attention to this matter is greatly appreciated.
scam,"I've just been informed that your account will be suspended if you don't verify your details within the next 2 hours. To proceed, please click this link to confirm your identity."
scam,"I'm writing this account to inform you that your account has been compromised due to suspicious activity from a foreign country, if you do not verify your information within the next 24 hours we will have to put your account on hold."
scam,"I'm writing this check for $8,000 to verify your identity for our security protocols, however, you must click this link to activate it within the next 24 hours."
normal,I got my paycheck and I'm thinking of using some of it to catch up on some overdue bills and maybe do some shopping for the week.
normal,I just got my paycheck and I'm thinking of using some of it to treat myself to a new dress after paying all my bills this month.
normal,I'm thinking of redecorating my living room and I was wondering if we could split the cost of the new furniture with you since I know you've got some extra cash from your tax refund.
normal,I got my paycheck yesterday and I think we should split the groceries this weekend since I'm a bit short on cash.
normal,"I'm low on cash this month and was thinking of splitting dinner with you at the new restaurant, does that sound good to you?"
normal,I just got my paycheck and I'm planning to use half of it to pay some bills this month.
scam,"I've received a notification that your account will be suspended if you don't verify your identity within the next 24 hours. To continue access, please click the link below to enter your OTP code."
scam,"I've been made aware of a potential issue with your account and we need you to verify your identity immediately. Please click this link to confirm your details and avoid any possible downtime of your account. Hurry, you have only 10 minutes left before our system automatically locks it due to inactivity."
scam,I'm writing to inform you that your account has been flagged for suspicious activity and we require immediate verification to ensure your security. Please click the link below to enter your 6-digit OTP code sent to your registered mobile number.
scam,I'm writing to inform you that your account has been compromised due to unusual activity and we require a one-time verification code sent to your registered mobile number to secure your account. Please click this link to generate the OTP instantly.
scam,"I'm writing to inform you that your PayPal account has been compromised due to suspicious activity, please click this link to verify your details and prevent any further unauthorized transactions."
scam,I'm having trouble with my account and our system is flagging it for suspicious activity. Please click this link to verify my identity and we'll resolve the issue immediately.
normal,I'm thinking of starting a savings plan and was wondering if we could set up automatic transfers from my paycheck to yours for our monthly shopping trip.
normal,I got paid this morning and I'm thinking of using some of it to go shopping for new clothes this weekend.
normal,"I just got paid, so we can finally split the cost of that new TV we've been looking at."
normal,I got my paycheck and I'm glad to have some extra money to spend on that new TV I've been eyeing at the mall.
normal,"I'm going to treat my sister to dinner tonight, and I think we can split the bill down the middle since we're both getting paid this week."
normal,"I just got paid, so I'm finally able to pay this month's electricity bill on time."
scam,"I've been flagged for suspicious activity on your account, please click this link to verify your identity and secure your funds."
scam,"I am writing to verify your account information as part of our new security protocols. Please click on this link to confirm your identity and allow access to your full account balance. The verification code is 123-456-7890, and it will expire in 5 minutes."
scam,I am writing to verify your account information as our system has flagged a potential security breach and requires your immediate attention to prevent unauthorized access. Please click this link to confirm your details and avoid any potential consequences.
scam,I'm writing to inform you that your account has been compromised due to suspicious activity from a foreign bank. Please click this link to verify your identity and prevent further unauthorized access: https://bit.ly/36TgkSD or call 0800-123-4567 immediately.
